Y,Mes,Dia,Anyo,Hora,Minuto,AgroTemp,AgroHum
25.6,11,19,2021,17,20,8.4,87.3
24.9,11,19,2021,17,10,8.4,87.3
25.6,11,19,2021,17,0,8.4,87.3
26.0,11,19,2021,16,50,8.4,87.3
25.8,11,19,2021,16,40,8.4,87.3
25.8,11,19,2021,16,30,8.4,87.3
24.0,11,19,2021,16,20,8.4,87.3
25.7,11,19,2021,16,10,8.4,87.3
25.9,11,19,2021,16,0,8.4,87.3
26.1,11,19,2021,15,50,8.4,87.3
25.7,11,19,2021,15,40,8.4,87.3
25.6,11,19,2021,15,30,8.4,87.3
25.9,11,19,2021,15,20,8.4,87.3
26.0,11,19,2021,15,10,8.4,87.3
25.4,11,19,2021,15,0,8.4,87.3
25.4,11,19,2021,14,50,8.4,87.3
25.8,11,19,2021,14,40,8.4,87.3
24.2,11,19,2021,14,30,8.4,87.3
24.5,11,19,2021,14,20,8.4,87.3
23.6,11,19,2021,14,10,8.4,87.3
23.0,11,19,2021,14,0,8.4,87.3
22.8,11,19,2021,13,50,8.4,87.3
22.4,11,19,2021,13,40,8.4,87.3
21.0,11,19,2021,13,30,8.4,87.3
15.4,11,19,2021,13,20,8.4,87.3
21.0,11,19,2021,13,10,8.4,87.3
23.3,11,19,2021,13,0,8.4,87.3
22.9,11,19,2021,12,50,8.4,87.3
22.5,11,19,2021,12,40,8.4,87.3
22.8,11,19,2021,12,30,8.4,87.3
20.2,11,19,2021,12,20,8.4,87.3
19.3,11,19,2021,12,10,8.4,87.3
21.7,11,19,2021,12,0,8.4,87.3
21.6,11,19,2021,11,50,8.4,87.3
21.0,11,19,2021,11,40,8.4,87.3
20.9,11,19,2021,11,30,8.4,87.3
20.6,11,19,2021,11,20,8.4,87.3
21.1,11,19,2021,11,10,8.4,87.3
20.1,11,19,2021,11,0,8.4,87.3
20.1,11,19,2021,10,50,8.4,87.3
20.7,11,19,2021,10,40,8.4,87.3
18.8,11,19,2021,10,30,8.4,87.3
19.8,11,19,2021,10,20,8.4,87.3
19.0,11,19,2021,10,10,8.4,87.3
17.7,11,19,2021,10,0,8.4,87.3
17.6,11,19,2021,9,50,8.4,87.3
17.2,11,19,2021,9,40,8.4,87.3
16.4,11,19,2021,9,30,8.4,87.3
16.0,11,19,2021,9,20,8.4,87.3
15.3,11,19,2021,9,10,8.4,87.3
14.9,11,19,2021,9,0,8.4,87.3
14.5,11,19,2021,8,50,8.4,87.3
13.9,11,19,2021,8,40,8.4,87.3
13.6,11,19,2021,8,30,8.4,87.3
13.0,11,19,2021,8,20,8.4,87.3
12.7,11,19,2021,8,10,8.4,87.3
11.9,11,19,2021,8,0,8.4,87.3
12.0,11,19,2021,7,50,8.4,87.3
11.7,11,19,2021,7,40,8.4,87.3
11.5,11,19,2021,7,30,8.4,87.3
11.7,11,19,2021,7,20,8.4,87.3
10.8,11,19,2021,7,10,8.4,87.3
9.8,11,19,2021,7,0,8.4,87.3
9.0,11,19,2021,6,50,8.4,87.3
7.9,11,19,2021,6,40,8.4,87.3
7.3,11,19,2021,6,30,8.4,87.3
5.9,11,19,2021,6,20,8.4,87.3
4.6,11,19,2021,6,10,8.4,87.3
4.6,11,19,2021,6,0,8.4,87.3
3.4,11,19,2021,5,50,8.4,87.3
3.4,11,19,2021,5,40,8.4,87.3
2.4,11,19,2021,5,30,8.4,87.3
2.0,11,19,2021,5,20,8.4,87.3
2.5,11,19,2021,5,10,8.4,87.3
2.3,11,19,2021,5,0,8.4,87.3
2.3,11,19,2021,4,50,8.4,87.3
2.5,11,19,2021,4,40,8.4,87.3
2.3,11,19,2021,4,30,8.4,87.3
2.3,11,19,2021,4,20,8.4,87.3
2.5,11,19,2021,4,10,8.4,87.3
2.7,11,19,2021,4,0,8.4,87.3
2.7,11,19,2021,3,50,8.4,87.3
2.7,11,19,2021,3,40,8.4,87.3
3.2,11,19,2021,3,29,8.4,87.3
2.4,11,19,2021,3,19,8.4,87.3
2.6,11,19,2021,3,9,8.4,87.3
3.1,11,19,2021,2,59,8.4,87.3
3.8,11,19,2021,2,49,8.4,87.3
3.5,11,19,2021,2,39,8.4,87.3
3.5,11,19,2021,2,30,8.4,87.3
3.9,11,19,2021,2,20,8.4,87.3
4.1,11,19,2021,2,10,8.4,87.3
3.9,11,19,2021,2,0,8.4,87.3
3.5,11,19,2021,1,50,8.4,87.3
3.6,11,19,2021,1,40,8.4,87.3
3.8,11,19,2021,1,30,8.4,87.3
4.2,11,19,2021,1,20,8.4,87.3
3.7,11,19,2021,1,10,8.4,87.3
4.7,11,19,2021,1,0,8.4,87.3
4.5,11,19,2021,0,50,8.4,87.3
3.4,11,19,2021,0,40,8.4,87.3
5.0,11,19,2021,0,30,8.4,87.3
5.3,11,19,2021,0,20,8.4,87.3
6.3,11,19,2021,0,10,8.4,87.3
5.7,11,19,2021,0,0,8.4,87.3
5.0,11,18,2021,23,50,8.4,94.3
4.6,11,18,2021,23,40,8.4,94.3
5.2,11,18,2021,23,30,8.4,94.3
5.3,11,18,2021,23,20,8.4,94.3
5.3,11,18,2021,23,10,8.4,94.3
5.5,11,18,2021,23,0,8.4,94.3
5.8,11,18,2021,22,50,8.4,94.3
5.4,11,18,2021,22,40,8.4,94.3
5.8,11,18,2021,22,30,8.4,94.3
6.0,11,18,2021,22,20,8.4,94.3
6.3,11,18,2021,22,10,8.4,94.3
7.1,11,18,2021,22,0,8.4,94.3
7.7,11,18,2021,21,50,8.4,94.3
8.2,11,18,2021,21,40,8.4,94.3
7.5,11,18,2021,21,30,8.4,94.3
7.5,11,18,2021,21,20,8.4,94.3
8.3,11,18,2021,21,10,8.4,94.3
8.2,11,18,2021,21,0,8.4,94.3
